"id","name","code","account_type","reconcile","currency_id","tag_ids","name@zh_CN"
"mjb_l10n_cn_16020180","TAD - General Installation, Fitting out","16020180","asset_fixed","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_tangible_assets_minus","累计折旧 - 一般安装"
"mjb_l10n_cn_16020190","TAD - Other tangible assets","16020190","asset_fixed","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_tangible_assets_minus","累计折旧 - 其他固定资产"
"mjb_l10n_cn_16020200","Unamortized Expenditures","16020200","asset_fixed","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_deffered_assets","待摊费用"
"mjb_l10n_cn_16020210","IAD - R&D","16020210","asset_fixed","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_deffered_assets","待摊费用 - 研发费用"
"mjb_l10n_cn_16020220","IAD - Depreciation on Franchises, patents, similar rights, patents","16020220","asset_fixed","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_deffered_assets","待摊费用 - 无形资产"
"mjb_l10n_cn_16030000","Provision for Fixed Assets Impairment","16030000","asset_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_tangible_assets","固定资产减值准备"
"mjb_l10n_cn_16040000","Construction in progress","16040000","asset_non_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_construction_work_process","在建工程"
"mjb_l10n_cn_16050000","Construction materials","16050000","asset_non_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_project_material","工程物资"
"mjb_l10n_cn_16060000","Fixed assets in liquidation","16060000","asset_non_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_disposal_fix_assets","固定资产清理"
"mjb_l10n_cn_16110000","Unguaranteed residual value","16110000","asset_non_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_disposal_fix_assets","未担保余值"
"mjb_l10n_cn_16210000","Productive biological asset","16210000","asset_non_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_production_biological_assets","生产性生物资产"
"mjb_l10n_cn_16220000","Productive biological assets accumulated depreciation","16220000","asset_non_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_production_biological_assets","生产性生物资产累计折旧"
"mjb_l10n_cn_16230000","Public welfare biological assets","16230000","asset_non_current","False","base.CNY","mjb_l10n_cn.mjb_data_account_tag_production_biological_assets","公益性生物资产"
